"user_message","tool_calls"
"What's the state of my bike's power source?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
"Check battery level","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
"Battery status please","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
"How's my bike's battery holding out on this ride?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
"Can you give me an update on the bike's power level, please?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
"¿Cómo está mi batería, por favor?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
"Quiero saber el estado de mi batería, ¿cuál es?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
"¿Podrías decirme la condición de mi batería, por favor?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
"Could you please tell me my current ride status, specifically the battery level?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
"Hi, I'm a bit concerned about my bike's battery, could you check the current status and let me know?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
"What's my current elevation on this ride?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""elevation""}}]"
"Can you tell me my current elevation status?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""elevation""}}]"
"How much elevation gain have I had so far on this ride?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""elevation""}}]"
"What's my current elevation elevation on this route?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""elevation""}}]"
"Can you show me my current elevation profile?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""elevation""}}]"
"How much elevation have I climbed so far?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""elevation""}}]"
"Elevation status, please","[{""name"": ""get_ride_status"", ""args"": {""query"": ""elevation""}}]"
"How's the climb ahead looking?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""elevation""}}]"
"What's the terrain like for the next bit of the ride?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""elevation""}}]"
"¿Cómo está la subida de mi recorrido actual?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""elevation""}}]"
"¿Qué altura tengo que subir en mi ciclo actual?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""elevation""}}]"
"¿Cuánto subo en mi ruta actual?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""elevation""}}]"
"Can you please tell me the current elevation of my ride?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""elevation""}}]"
"I'd like to know if there are any significant elevation changes ahead on my route.","[{""name"": ""get_ride_status"", ""args"": {""query"": ""elevation""}}]"
"What's my current ride time?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"How long have I been cycling?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"Can you tell me how much time I've spent on this ride?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"What's the current time for my ride?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"How long has this ride been going on?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"What's the total ride time so far?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"Status now","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"What's the time","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"How long will it take me to finish this ride?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"What's the estimated time remaining on my journey?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"¿Cuál es mi estado de bici en este momento?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"¿Qué hora es en mi ruta de hoy?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"¿Cuánto tiempo más tengo de ciclo?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"Hi, could you please tell me the current time of my ride so I can plan ahead?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"What's the status of my ride, specifically the elapsed time, please?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"What's the road like in the next 5 kilometers?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"Can you give me an overview of the 5 kilometer segment ahead?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"What can I expect in the next 5k stretch?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"How's the terrain in the next 5 kilometers?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"What's coming up in the next 5 kilometers of the route?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"Can you give me a briefing on the next 5 kilometer segment?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"What's ahead in the next 5km","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"Show me the road 5km from now","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"What can I expect in the next few kilometres?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"Can you give me a heads up on the upcoming road conditions?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"¿Qué tipo de tramo me espera a los próximos 5 kilómetros?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"Me gustaría saber qué condiciones de tramo tengo por delante en los próximos 5 kilómetros","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"¿Qué me puede decir sobre el tramo de 5 kilómetros que tengo por delante?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"Hi, could you please give me a heads up on what's coming up in the next 5 kilometers?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"What lies ahead in the next 5 kilometers of our route, please?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"What lies ahead in the next section of the ride?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"Can you show me the details of the next section?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"What can I expect in the upcoming section of the route?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"I'd like to know more about the next segment ahead.","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"Can you give me information about the next section of the ride?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"What's coming up next","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"Next section ahead","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"What's approaching on the road ahead?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"Can you tell me about the next part of the route?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"¿Cuál será el próximo tramo de la ruta?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"¿Qué se nos avecina en el siguiente tramo?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"¿Qué características tendrá el próximo segmento?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"Excuse me, could you please show me what's coming up next in the route?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"I'd love to know what's waiting for me in the next section of the ride, could you give me a heads up?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"What's coming up ahead on the route?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"What's the next section of the ride like?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"Can you show me what's around the next bend?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"What's next on the route?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"What lies ahead for me on this ride?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"What can you tell me about the next part of the ride?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"Show next segment","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"What's ahead","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"What's the upcoming terrain like?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"¿Qué me espera en la siguiente sección?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"¿Cuál es el perfil del camino que me espera en la próxima parte de la ruta?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"¿Qué hay en la próxima sección de la ruta que pueda interesarme?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"What's the upcoming section of the route look like?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"Could you please tell me about the next part of the route?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"What lies ahead on the route in the next 10 kilometers?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"Can you give me an overview of the 10 kilometers of road ahead?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"What's the next 10 kilometers of road like?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"How does the road look 10 kilometers from now?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"What can I expect in the next 10 kilometers of the ride?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"What's the road like for the next 10 kilometers?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"What's ahead in 10 kilometers","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"Show me the next 10 kilometers","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"I'd love to know what's coming up in the next 10 kilometers.","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"Can you give me a heads up on the road conditions ahead for the next 10 kilometers?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"¿Cuál es el tramo de carretera que tengo por delante a los 10 kilómetros?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"¿Qué se me avecina en el próximo tramo de 10 kilómetros en la ruta?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"Por favor, me avisa sobre las próximas 10 kilómetros de la carrera","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"Could you please give me an idea of what's coming up in the next 10 kilometers of the ride?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"Would you be so kind as to let me know what the next 10 kilometers of the route have in store for me?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"What's the weather forecast looking like for the next part of my route?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"Can you please tell me what the weather is going to be like on the next section?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"How's the weather going to be ahead of me?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"What's the weather forecast for the upcoming part of my ride?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"Can you give me an idea of what the weather will be like on the next stretch?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"What's the weather prediction for the next section of my route?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"What's the forecast ahead?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"Forecast for the next section?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"Can you give me some insight on what the weather will be like after this point?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"Do you know what kind of conditions I'll be facing in the next few kilometers?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"¿Cuál es el pronóstico del tiempo por delante?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"¿Qué condiciones climáticas podemos esperar en el tramo que sigue?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"¿Podrías decirme qué tiempo hace por delante?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"What's the weather forecast looking like for the rest of my ride?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"Could you please tell me what the weather will be like ahead on my route?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"What's the current wind forecast?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""wind""}}]"
"Can you give me wind data for the area?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""wind""}}]"
"What's the wind situation going to be like?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""wind""}}]"
"How much wind can I expect during the ride?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""wind""}}]"
"Will it be windy on my route?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""wind""}}]"
"What's the forecast for wind ahead?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""wind""}}]"
"Show me wind forecast","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""wind""}}]"
"What's the weather like, wind speed","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""wind""}}]"
"What can I expect the wind to be like on the route ahead?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""wind""}}]"
"Will I need to hold my handlebars tight due to strong wind on the upcoming section?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""wind""}}]"
"¿Qué previsión meteorológica hay para la hora en la que sopla el viento?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""wind""}}]"
"¿Qué velocidad y dirección del viento puedo esperar durante el próximo tramo?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""wind""}}]"
"¿Hay algún aviso de viento fuerte en mi ruta de hoy?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""wind""}}]"
"Excuse me, could you please tell me the current weather forecast, specifically with regards to any wind we might encounter?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""wind""}}]"
"I was wondering if you could provide me with the latest information on wind conditions for the remainder of my ride, please?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""wind""}}]"
"What's the current weather like on my ride?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""current""}}]"
"Can you tell me the current weather conditions?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""current""}}]"
"What's the current forecast like?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""current""}}]"
"Is it raining outside right now?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""current""}}]"
"What's the current temperature and weather like?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""current""}}]"
"Can you give me an update on the current weather?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""current""}}]"
"What's the current weather?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""current""}}]"
"Current conditions please","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""current""}}]"
"Can you let me know what the weather is like right now?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""current""}}]"
"I'd love to know the current conditions outside before I start my ride.","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""current""}}]"
"¿Cuál es el estado del tiempo actual?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""current""}}]"
"¿Cómo está el clima ahora?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""current""}}]"
"¿Puedes darme la previsión del tiempo para el momento actual?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""current""}}]"
"Can you please check the current weather conditions so we can plan our route accordingly?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""current""}}]"
"What's the current weather forecast looking like? Would love to know if we'll be riding in the rain or sunshine.","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""current""}}]"
"What are the nearby water sources?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"Can you find any water near me?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"Where are the water stops on my route?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"Are there any water stations nearby?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"Can you show me the nearest water spots?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"Is there a water refill station close to me?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"Water nearby","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"Find water stop","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"I'm getting a bit thirsty, can you please show me the nearest water stop?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"I'm planning to refill my water bottle soon, can you show me where I can find a water source?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"¿Hay algún lugar cerca donde pueda encontrar agua para beber?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"Estoy buscando un fuentecito de agua para rellenar mi bidón. ¿Hay alguien cerca?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"¿Dónde puedo encontrar un lugar con agua cerca de mí, por favor?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"Excuse me, could you please find nearby water sources for my route?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"Hi, I'm planning to take a break soon. Could you show me the nearest water spots?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"What cafes are nearby?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""cafe""}}]"
"Can you find a nearby cafe?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""cafe""}}]"
"Is there a cafe around here?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""cafe""}}]"
"Are there any cafes in the area?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""cafe""}}]"
"Can you locate a cafe?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""cafe""}}]"
"Can you show me a nearby cafe?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""cafe""}}]"
"Find a cafe nearby","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""cafe""}}]"
"Cafe near me","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""cafe""}}]"
"I'm getting a bit thirsty, can you show me where I can find a place to grab a coffee?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""cafe""}}]"
"I'm looking for a quick break, are there any cafes nearby?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""cafe""}}]"
"¿Dónde hay un café cerca de mí?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""cafe""}}]"
"Busco un lugar para parar y tomar un café, ¿tienes recomendaciones?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""cafe""}}]"
"¿Hay algún bar o café cerca de la ruta que estoy recorriendo?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""cafe""}}]"
"What's the nearest cafe to my current location, please?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""cafe""}}]"
"Could you show me some nearby cafes on my route, I'm getting a bit peckish.","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""cafe""}}]"
"Can you find bike shops nearby?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""bike_shop""}}]"
"Are there any bike shops in the area that I can stop at?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""bike_shop""}}]"
"What bike shops are close to my current location?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""bike_shop""}}]"
"Can you show me the nearest bike shops?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""bike_shop""}}]"
"I'm looking for a bike shop, can you help me find one?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""bike_shop""}}]"
"Where are the nearest bike shops to my current location?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""bike_shop""}}]"
"Find bike shop nearby","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""bike_shop""}}]"
"Where's the nearest bike shop","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""bike_shop""}}]"
"I'm getting close to the end of my tire's lifespan and I need to find a place to get it replaced.","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""bike_shop""}}]"
"Can you show me where the nearest bike shop is so I can get some spare parts?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""bike_shop""}}]"
"¿Hay tiendas de bicicletas cerca de mí?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""bike_shop""}}]"
"¿Dónde puedo encontrar un taller de bicicletas por aquí?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""bike_shop""}}]"
"¿Hay algún lugar cerca donde pueda comprar piezas para mi bicicleta?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""bike_shop""}}]"
"Can you please show me the nearest bike shop on the route?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""bike_shop""}}]"
"I'd like to get directions to the first bike shop ahead of me, if possible.","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""bike_shop""}}]"
"Where is the nearest rest area?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""rest_area""}}]"
"Can you find a rest area nearby?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""rest_area""}}]"
"I'm looking for a rest area, can you show me where one is?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""rest_area""}}]"
"Do you have any nearby rest areas?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""rest_area""}}]"
"How far is the nearest rest area?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""rest_area""}}]"
"Can you locate a rest area for me?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""rest_area""}}]"
"Find rest area nearby","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""rest_area""}}]"
"Show nearest rest stop","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""rest_area""}}]"
"I'm feeling a bit thirsty, can you show me where I can grab a drink or stretch my legs?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""rest_area""}}]"
"I'm getting a bit tired, can you help me find a spot to take a break?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""rest_area""}}]"
"¿Hay alguna zona de descanso cerca de mí?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""rest_area""}}]"
"¿Puedes mostrarme los lugares de descanso cercanos?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""rest_area""}}]"
"¿Dónde puedo encontrar un área de descanso para mi bici?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""rest_area""}}]"
"Hi, could you please show me the location of any rest areas nearby?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""rest_area""}}]"
"I'm feeling a bit tired, could you display the nearest rest areas on the route?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""rest_area""}}]"
"Can you show me the nearest shelter?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""shelter""}}]"
"Are there any shelters nearby?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""shelter""}}]"
"I need to know where the closest shelter is.","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""shelter""}}]"
"Can you find any shelters around my location?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""shelter""}}]"
"What's the nearest place to take a break, preferably a shelter?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""shelter""}}]"
"Can you help me locate a shelter in the area?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""shelter""}}]"
"Find nearest shelter","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""shelter""}}]"
"Where is a shelter nearby","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""shelter""}}]"
"I'm getting tired, can you show me where to find a place to rest on the road?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""shelter""}}]"
"It's getting late, can you help me locate a shelter or somewhere safe to stop for the night?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""shelter""}}]"
"¿Hay algún refugio cerca?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""shelter""}}]"
"¿Dónde está un lugar para refugiarme?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""shelter""}}]"
"¿Puedes mostrarme un alojamiento cercano?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""shelter""}}]"
"Can you show me some nearby shelter options for a quick break?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""shelter""}}]"
"Is there anywhere around here where I can find some shelter from the sun?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""shelter""}}]"
"Can you suggest a flatter route for my bike ride?","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""flatter""}}]"
"How do I get to a flatter part of the route?","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""flatter""}}]"
"Are there any alternative routes that are less hilly?","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""flatter""}}]"
"Can you find a route with fewer steep inclines?","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""flatter""}}]"
"What's a more gentle route for this section of the ride?","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""flatter""}}]"
"Do you have any suggestions for a route with less elevation gain?","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""flatter""}}]"
"Find flattest route","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""flatter""}}]"
"Route, please, flatter option","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""flatter""}}]"
"I'm not up for the hills today, can you suggest a route with less climbing?","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""flatter""}}]"
"Is there a way to avoid all the steep sections on this route?","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""flatter""}}]"
"Necesito una ruta más plana, ¿puedes sugerirme una alternativa?","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""flatter""}}]"
"¿Sabes si hay algún camino más llano en el recorrido?","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""flatter""}}]"
"Quiero evitar subidas y bajadas, ¿puedes encontrar una ruta más suave para mí?","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""flatter""}}]"
"I'm looking for a new route to the beach, could you suggest something that's a bit flatter?","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""flatter""}}]"
"I'm not a fan of steep hills, could you please find me a route alternative that's a bit flatter?","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""flatter""}}]"
"What's the most scenic route to take that avoids major highways?","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""avoid_main_roads""}}]"
"Can you suggest an alternative route with less traffic?","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""avoid_main_roads""}}]"
"How do I get to my destination without taking the main roads?","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""avoid_main_roads""}}]"
"What route should I take to avoid the busy roads and find a quieter path?","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""avoid_main_roads""}}]"
"Can you give me directions that take me through some quieter areas?","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""avoid_main_roads""}}]"
"Is there a route that's not too crowded, and can you show me the options?","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""avoid_main_roads""}}]"
"Avoid main roads","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""avoid_main_roads""}}]"
"Route me off highways","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""avoid_main_roads""}}]"
